"","Zomato.address","Zomato.name","Zomato.online_order","Zomato.book_table","Zomato.rate","Zomato.votes","Zomato.location","Zomato.approx_cost.for.two.people.","Zomato.RestoCOde"
"1","942, 21st Main Road, 2nd Stage, Banashankari, Bangalore","Jalsa","Yes","Yes",4.1,775,"Banashankari","800","942, 21st Main Road, 2nd Stage, Banashankari, BangaloreJalsa"
"2","2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore","Spice Elephant","Yes","No",4.1,787,"Banashankari","800","2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, BangaloreSpice Elephant"
"3","1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore","San Churro Cafe","Yes","No",3.8,918,"Banashankari","800","1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, BangaloreSan Churro Cafe"
"4","1st Floor, Annakuteera, 3rd Stage, Banashankari, Bangalore","Addhuri Udupi Bhojana","No","No",3.7,88,"Banashankari","300","1st Floor, Annakuteera, 3rd Stage, Banashankari, BangaloreAddhuri Udupi Bhojana"
"5","10, 3rd Floor, Lakshmi Associates, Gandhi Bazaar Main Road, Above Reliance Trends, Basavanagudi, Bangalore","Grand Village","No","No",3.8,166,"Basavanagudi","600","10, 3rd Floor, Lakshmi Associates, Gandhi Bazaar Main Road, Above Reliance Trends, Basavanagudi, BangaloreGrand Village"
"6","37, 5-1, 4th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, Bangalore","Timepass Dinner","Yes","No",3.8,286,"Basavanagudi","600","37, 5-1, 4th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, BangaloreTimepass Dinner"
"7","19/1, New Timberyard Layout, Beside Satellite Bus Stop, Mysore Road, Bangalore","Rosewood International Hotel - Bar & Restaurant","No","No",3.6,8,"Mysore Road","800","19/1, New Timberyard Layout, Beside Satellite Bus Stop, Mysore Road, BangaloreRosewood International Hotel - Bar & Restaurant"
"8","2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore","Onesta","Yes","Yes",4.6,2556,"Banashankari","600","2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, BangaloreOnesta"
"9","1, 30th Main Road, 3rd Stage, Banashankari, Bangalore","Penthouse Cafe","Yes","No",4,324,"Banashankari","700","1, 30th Main Road, 3rd Stage, Banashankari, BangalorePenthouse Cafe"
"10","2470, 21 Main Road, 25th Cross, Banashankari, Bangalore","Smacznego","Yes","No",4.2,504,"Banashankari","550","2470, 21 Main Road, 25th Cross, Banashankari, BangaloreSmacznego"
"11","941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, Banashankari","Cafe Shuffle","Yes","Yes",4.2,150,"Banashankari","600","941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, BanashankariCafe Shuffle"
"12","6th Block, 3rd Stage, Banashankari, Bangalore","The Coffee Shack","Yes","Yes",4.2,164,"Banashankari","500","6th Block, 3rd Stage, Banashankari, BangaloreThe Coffee Shack"
